student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,sex,ageguess,year,lovetrueage,lovetrueht
202203,n,y,5,185,2,0,10,1,7,0,2,2,73,25,NA,7,68,NA,NA,2022,55.5,190
202204,y,y,6,185,1,0,10,1,7,38,1,3,70,23.5,green,6,88,NA,NA,2022,55.5,190
202205,y,y,6,191,1,16,4,1,7,25,3,3,59,17,red,6,60,NA,NA,2022,55.5,190
202206,y,y,6,183,2,3,15,1,7,15,3,3,68,22,royal purple,7,72,NA,NA,2022,55.5,190
202207,y,y,7,188,1,18,10,1,7,0,2,3,71,23,blue,7,68,NA,NA,2022,55.5,190
202208,n,n,7,188,1,4,10,1,7,32,3,2,70,23,black,6,68,NA,NA,2022,55.5,190
202209,y,y,7,191,2,1,19,1,7,60,2,4,69,22.5,green,8,96,NA,NA,2022,55.5,190
202210,n,y,6,183,1,6,13,1,6,40,3,4,76,24,red,7,66,NA,NA,2022,55.5,190
202211,n,n,5,180,1,7,12,1,7,45,3,3,66,19,green,8,64,NA,NA,2022,55.5,190
202212,n,y,3,188,1,0,16,1,7,52,3,3,68,23,purple,8,88,NA,NA,2022,55.5,190
202213,y,y,5,188,1,0,16,1,7,52,3,2,69,19.5,blue,7,74,NA,NA,2022,55.5,190
202214,n,y,6,185,1,4,9,1,7,0,3,2,67,20,green,7,100,NA,NA,2022,55.5,190
202215,y,y,4,185,1,0,10,1,5,30,3,3,72,24.5,black,7,55,NA,NA,2022,55.5,190
202216,y,y,5,183,1,4,13,1,7,15,3,3,61,21.2,green,6.5,79,NA,NA,2022,55.5,190
202217,y,y,3,191,1,0,19,1,6,30,2,3,75.5,23,maroon,6,76,NA,NA,2022,55.5,190
202218,y,n,1,185,1,1,14,1,5,75,5,5,70,20,pink,8,74,NA,NA,2022,55.5,190
202219,n,y,5,178,1,1,17,1,7,20,3,4,68,24,blue,7,68,NA,NA,2022,55.5,190
202220,n,n,5,NA,1,2,9,1,NA,4,4,3,66,19.5,red,7,78,NA,NA,2022,55.5,190
202221,y,y,7,185,2,0,20,1,7,45,3,4,68,21,green,7,79,NA,NA,2022,55.5,190
202222,n,y,4,191,1,1,17,1,5,20,3,2,72,24.8,orange,6,80,NA,NA,2022,55.5,190
202223,n,y,5,191,1,4,15,1,6,35,3,3,69,22.8,blue,5,84,NA,NA,2022,55.5,190
202224,y,n,5,178,1,4,16,1,7,0,3,1,62,20.5,red,8,68,NA,NA,2022,55.5,190
202225,y,n,3,185,1,1,17,1,7,50,2,3,71,26.5,blue,6,68,NA,NA,2022,55.5,190
202226,n,n,5,183,1,0,13,1,7,25,3,3,68,22.8,blue,6,70,NA,NA,2022,55.5,190
202227,y,n,5,183,1,0,19,1,7,40,3,4,69,22,blue,7,70,NA,NA,2022,55.5,190
202228,n,y,3,191,1,0,10,1,7,240,1,2,67,20,orange,5.5,60,NA,NA,2022,55.5,190
202229,y,y,3,185,1,4,14,1,6,30,1,3,68,23.2,blue,10,72,NA,NA,2022,55.5,190
202230,y,y,5,180,1,4,6,1,7,6,3,3,73.5,21,blue,6,64,NA,NA,2022,55.5,190
202231,n,y,5,191,1,6,14,1,7,45,4,3,75,23.5,blue,7,60,NA,NA,2022,55.5,190
202232,y,n,6,191,1,3,17,1,7,25,3,5,64,19,blue,8,100,NA,NA,2022,55.5,190
202233,y,n,3,173,1,1,18,1,6,2,4,2,69,21,blue,8,72,NA,NA,2022,55.5,190
202234,y,y,6,191,1,4,16,1,4,30,4,4,73,23.5,orange,8,66,NA,NA,2022,55.5,190
202235,n,y,7,191,1,1,19,1,7,25,2,4,73,23.5,green,7.5,68,NA,NA,2022,55.5,190
202236,y,y,6,183,1,20,10,1,7,20,3,3,68,23,blue,8,88,NA,NA,2022,55.5,190
202237,y,y,6,191,1,0,20,1,5,200,4,3,66,19,blue,5,62,NA,NA,2022,55.5,190
202238,y,y,5,191,1,19,11,1,4,15,3,2,70,22.5,white,10,84,NA,NA,2022,55.5,190
202239,y,y,7,191,2,0,10,1,7,35,3,3,65,23,all of them,5,88,NA,NA,2022,55.5,190
202240,y,n,5,180,1,4,14,1,7,0,2,1,67,21,red,8,NA,NA,NA,2022,55.5,190
202241,n,y,3,191,1,3,13,1,5,20,3,2,68,21,blue,3.5,80,NA,NA,2022,55.5,190
202242,n,y,6,191,1,17,10,1,7,80,4,3,66,21.5,blue,6.5,78,NA,NA,2022,55.5,190
202243,n,y,7,191,2,0,10,1,7,20,1,1,70.5,24,blue,7,72,NA,NA,2022,55.5,190
202244,n,y,1,185,1,2,13,1,4,30,4,1,63,20,blue,6,92,NA,NA,2022,55.5,190
202245,y,y,3,188,1,2,15,1,6,80,2,3,66,21,blue,6.5,80,NA,NA,2022,55.5,190
202246,n,n,5,180,1,0,10,1,5,10,3,NA,66,19,green,8,50,NA,NA,2022,55.5,190
202247,y,y,7,NA,1,2,9,1,7,50,3,1,62,20,red,8,80,NA,NA,2022,55.5,190
202248,y,y,5,168,1,0,18,1,4,30,5,4,69,24,orange,7.5,76,NA,NA,2022,55.5,190
202249,y,y,5,188,1,1,19,1,6,60,3,4,61,19,seafoam green,7,88,NA,NA,2022,55.5,190
202250,y,y,5,191,1,1,19,1,7,20,3,4,72,22.5,blue,6.5,80,NA,NA,2022,55.5,190
202251,y,n,5,191,1,1,10,1,5,20,3,4,70,22,blue,8,88,NA,NA,2022,55.5,190
202252,y,n,5,191,3,6,12,1,5,30,5,5,70,22,blue,10,88,NA,NA,2022,55.5,190
202253,y,y,6,175,1,18,10,1,7,5,4,3,67,19,blue,6,80,NA,NA,2022,55.5,190
202254,y,n,1,NA,1,1,9,1,6,30,5,1,72,20,white,8,NA,NA,NA,2022,55.5,190
202101,n,y,7,178,1,0,10,1,7,20,3,4,72,23,green,5,80,NA,NA,2021,54.5,191
202102,y,y,5,178,1,2,18,0.8,6,25,3,3,68,20,blue,7,84,NA,NA,2021,54.5,191
202103,n,y,3,178,1,0,18,1,6,30,2,3,71,20,green,7,92,NA,NA,2021,54.5,191
202104,y,y,5,173,3,12,4,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,54.5,191
202105,y,y,3,178,1,4,13,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,54.5,191
202106,y,y,5,183,1,1,19,0.9,6,65,5,1,66,20,pink,10,88,NA,NA,2021,54.5,191
202107,y,y,5,180,1,1,19,0.9,7,0,4,2,65,17,green,10,84,NA,NA,2021,54.5,191
202108,n,y,6,178,1,0,10,1,7,30,2,4,68,23,red,8,76,NA,NA,2021,54.5,191
202109,y,y,5,188,1,3,16,0.68,7,100,2,4,60,17,NA,6,60,NA,NA,2021,54.5,191
202110,n,y,6,183,1,2,18,0.8,7,30,1,2,66,20,red,6,64,NA,NA,2021,54.5,191
202111,n,y,5,178,1,0,15,1,6,20,2,2,70,21,green,6,80,NA,NA,2021,54.5,191
202112,n,y,5,180,1,2,18,0.8,7,35,2,3,74,23,blue,7,80,NA,NA,2021,54.5,191
202113,y,y,4,173,1,2,14,0.75,6,15,3,3,63,19.5,blue,6,60,NA,NA,2021,54.5,191
202114,y,n,5,165,1,0,16,1,5,20,2,2,73,21.5,red,8,60,NA,NA,2021,54.5,191
202115,y,y,2,180,1,1,14,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,54.5,191
202116,y,y,1,180,2,2,18,0.8,7,0,4,4,65.5,20,salmon,6,64,NA,NA,2021,54.5,191
202117,n,y,5,178,1,2,18,0.8,7,35,2,3,69,20,blue,8,64,NA,NA,2021,54.5,191
202118,y,n,5,183,1,1,19,0.9,7,40,4,3,63,14,blue,6,96,NA,NA,2021,54.5,191
202119,y,n,1,175,1,6,13,0.37,6,60,3,2,71,22,yellow,6,90,NA,NA,2021,54.5,191
202120,y,n,5,180,1,0,10,1,7,0,4,3,66,19,red,8.5,NA,NA,NA,2021,54.5,191
202121,n,n,5,180,1,0,20,1,7,0,3,2,69,20,red,8,64,NA,NA,2021,54.5,191
202122,y,y,4,178,1,0,10,1,6,65,2,3,62,20,purple,8,84,NA,NA,2021,54.5,191
202123,y,n,7,175,1,0,20,1,7,50,2,5,69,20,blue,5,64,NA,NA,2021,54.5,191
202124,y,y,4,173,1,10,1,-0.82,7,60,2,3,62,22,purple,8,80,NA,NA,2021,54.5,191
202125,y,y,2,178,1,0,14,1,6,70,3,2,67.5,19,blue,6,70,NA,NA,2021,54.5,191
202126,n,n,7,175,1,2,15,0.76,7,200,5,1,63,18,blue,8,92,NA,NA,2021,54.5,191
202127,n,n,3,175,1,6,14,0.4,6,31,3,2,74,21,blue,8,77,NA,NA,2021,54.5,191
202128,n,y,5,185,1,0,15,1,7,40,4,1,66,20.7,blue,8,64,NA,NA,2021,54.5,191
202129,n,y,5,185,1,0,15,1,6,30,4,1,63,18.6,blue,8,64,NA,NA,2021,54.5,191
202130,y,y,6,178,1,0,10,1,7,60,3,5,66,20,pink,8,94,NA,NA,2021,54.5,191
202131,n,y,6,183,1,5,14,0.47,7,70,4,3,69,21.5,lavender,8,88,NA,NA,2021,54.5,191
202132,y,n,7,183,1,5,14,0.47,7,60,4,4,63,20,green,7.5,72,NA,NA,2021,54.5,191
202133,n,y,5,185,1,0,10,1,7,18,1,1,67,23,white,6,70,NA,NA,2021,54.5,191
202134,y,y,5,185,2,2,14,0.75,6,14,4,2,76,23.5,red,7,72,NA,NA,2021,54.5,191
202135,y,y,4,187,1,2,9,0.64,7,35,2,3,77.5,24.5,green,7.5,80,NA,NA,2021,54.5,191
202136,y,y,3,183,1,2,16,0.78,6,72,3,1,64,19,blue,8,80,NA,NA,2021,54.5,191
202137,n,y,5,180,1,1,16,0.88,5,30,4,3,68,20,black,9,80,NA,NA,2021,54.5,191
202138,y,n,1,170,1,0,16,1,5,100,4,2,67,19.5,sky blue,6.5,64,NA,NA,2021,54.5,191
202139,y,y,4,170,1,0,10,1,6,60,3,2,64,21,purple,7,72,NA,NA,2021,54.5,191
202140,y,y,5,183,1,16,4,-0.6,7,100,3,4,64,20,lavender,7,104,NA,NA,2021,54.5,191
202141,y,y,5,178,1,16,3,-0.68,5,26,3,4,69,20.8,forest green,8,72,NA,NA,2021,54.5,191
202142,n,y,4,178,3,0,14,1,6,30,3,2,73,22.5,orange,9,60,NA,NA,2021,54.5,191
202143,y,y,5,188,1,2,16,0.78,6,250,3,4,66,16.5,green,8,68,NA,NA,2021,54.5,191
202144,n,y,4,180,2,0,15,1,6,20,3,3,70,23.5,blue,7,80,NA,NA,2021,54.5,191
202145,y,y,5,178,1,13,0,-1,5,35,3,2,73,23.75,blue,6,84,NA,NA,2021,54.5,191
202146,y,y,5,178,1,1,12,0.85,5,70,3,4,73,24,black,6,65,NA,NA,2021,54.5,191
202147,n,y,5,180,1,7,5,-0.17,7,0,4,4,74,22,green,8,44,NA,NA,2021,54.5,191
202148,y,y,5,180,1,1,19,0.9,7,0,3,4,64,18,blue,7.5,60,NA,NA,2021,54.5,191
202149,n,y,3,180,1,0,10,1,6,18,3,4,62,19,blue,5,84,NA,NA,2021,54.5,191
202150,y,y,7,188,2,0,19,1,7,40,4,3,65,21,NA,6,64,NA,NA,2021,54.5,191
202151,y,y,5,188,1,0,17,1,5,0,3,3,71,22.5,green,7,92,NA,NA,2021,54.5,191
202152,y,y,3,191,1,4,16,0.6,5,50,3,2,67,18,green,8,96,NA,NA,2021,54.5,191
202153,y,y,6,188,3,3,17,0.7,7,2,3,4,60,16.5,blue,9,75,NA,NA,2021,54.5,191
202154,y,n,5,175,1,1,15,0.88,7,40,5,4,70,22,light blue,6,72,NA,NA,2021,54.5,191
202155,y,y,5,178,1,3,7,0.4,7,30,5,4,72,23.5,blue,7,66,NA,NA,2021,54.5,191
202156,y,y,5,178,1,0,20,1,7,60,4,4,68,17.5,blue,8,76,NA,NA,2021,54.5,191
202157,n,y,4,183,1,0,10,1,NA,22,1,3,71,20,green,6.5,72,NA,NA,2021,54.5,191
202158,n,n,5,183,1,0,10,1,6,35,1,1,67,20,blue,4,82,NA,NA,2021,54.5,191
202001,y,n,NA,NA,1,NA,NA,NA,7,5,3,2,70,NA,blue,7,NA,NA,NA,2020,53.5,NA
202002,y,y,NA,NA,1,NA,NA,NA,6,0,3,2,61,NA,blue,6.5,NA,NA,NA,2020,53.5,NA
202003,y,y,NA,NA,1,NA,NA,NA,7,45,4,3,62,NA,purple,8,NA,NA,NA,2020,53.5,NA
202004,y,n,NA,NA,1,NA,NA,NA,7,3,5,5,72,NA,blue,7,NA,NA,NA,2020,53.5,NA
202005,y,y,NA,NA,1,NA,NA,NA,7,0,4,3,63,NA,purple,7,NA,NA,NA,2020,53.5,NA
202006,n,y,NA,NA,1,NA,NA,NA,6,45,2,4,68,NA,silver,8,NA,NA,NA,2020,53.5,NA
202007,y,y,NA,NA,1,NA,NA,NA,7,0,3,3,68,NA,green,6,NA,NA,NA,2020,53.5,NA
202008,n,y,NA,NA,1,NA,NA,NA,7,0,4,3,72,NA,blue,5,NA,NA,NA,2020,53.5,NA
202009,y,n,NA,NA,1,NA,NA,NA,6,20,3,3,62,NA,purple,7,NA,NA,NA,2020,53.5,NA
202010,y,n,NA,NA,1,NA,NA,NA,6,72,2,3,66,NA,green,6.5,NA,NA,NA,2020,53.5,NA
202011,y,y,NA,NA,1,NA,NA,NA,5,40,2,2,64,NA,green,6,NA,NA,NA,2020,53.5,NA
202012,y,y,NA,NA,1,NA,NA,NA,6,60,2,3,65,NA,green,9,NA,NA,NA,2020,53.5,NA
202013,n,y,NA,NA,1,NA,NA,NA,6,0,3,4,63,NA,purple,7,NA,NA,NA,2020,53.5,NA
202014,n,y,NA,NA,1,NA,NA,NA,5,0,3,2,68,NA,blue,2,NA,NA,NA,2020,53.5,NA
202015,y,y,NA,NA,1,NA,NA,NA,5,0,3,3,64,NA,blue,8,NA,NA,NA,2020,53.5,NA
202016,y,y,NA,NA,1,NA,NA,NA,7,130,2,5,70,NA,purple,9,NA,NA,NA,2020,53.5,NA
202017,n,n,NA,NA,1,NA,NA,NA,6,25,3,2,67,NA,baby blue,6,NA,NA,NA,2020,53.5,NA
202018,y,y,NA,NA,1,NA,NA,NA,6,50,3,3,62,NA,green,5,NA,NA,NA,2020,53.5,NA
202019,y,y,NA,NA,1,NA,NA,NA,7,35,5,5,66,NA,red,7,NA,NA,NA,2020,53.5,NA
202020,y,y,NA,NA,1,NA,NA,NA,7,35,2,2,67,NA,blue,5,NA,NA,NA,2020,53.5,NA
202021,y,y,NA,NA,1,NA,NA,NA,6,0,4,3,65,NA,purple,6,NA,NA,NA,2020,53.5,NA
202022,y,y,NA,NA,1,NA,NA,NA,7,0,4,3,62,NA,blue,7,NA,NA,NA,2020,53.5,NA
202023,y,y,NA,NA,1,NA,NA,NA,6,0,3,3,69,NA,turquoise,6.5,NA,NA,NA,2020,53.5,NA
202024,y,y,NA,NA,1,NA,NA,NA,7,65,5,3,67,NA,purple,6,NA,NA,NA,2020,53.5,NA
202025,n,y,NA,NA,1,NA,NA,NA,6,30,1,2,76,NA,blue,9,NA,NA,NA,2020,53.5,NA
202026,y,y,NA,NA,1,NA,NA,NA,6,20,3,2,74,NA,red,8,NA,NA,NA,2020,53.5,NA
202027,y,y,NA,NA,1,NA,NA,NA,6,50,3,2,59,NA,navy,9,NA,NA,NA,2020,53.5,NA
202028,y,y,NA,NA,2,NA,NA,NA,6,45,4,2,62,NA,brown,8.5,NA,NA,NA,2020,53.5,NA
202029,y,n,NA,NA,1,NA,NA,NA,7,25,3,3,72,NA,brown,6,NA,NA,NA,2020,53.5,NA
202030,y,y,NA,NA,1,NA,NA,NA,7,60,3,5,62,NA,blue,8,NA,NA,NA,2020,53.5,NA
202031,y,n,NA,NA,1,NA,NA,NA,7,40,4,2,63,NA,orange,5,NA,NA,NA,2020,53.5,NA
202032,n,y,NA,NA,1,NA,NA,NA,5,100,2,2,65,NA,red,6,NA,NA,NA,2020,53.5,NA
202033,y,y,NA,NA,1,NA,NA,NA,6,0,4,4,68,NA,blue,8.5,NA,NA,NA,2020,53.5,NA
202034,y,y,NA,NA,1,NA,NA,NA,6,20,3,4,75,NA,navy,6,NA,NA,NA,2020,53.5,NA
202035,y,n,NA,NA,1,NA,NA,NA,5,8,3,1,74,NA,black,11,NA,NA,NA,2020,53.5,NA
202036,n,y,NA,NA,1,NA,NA,NA,6,27,3,5,68,NA,light blue,7.5,NA,NA,NA,2020,53.5,NA
202037,y,y,NA,NA,1,NA,NA,NA,6,0,3,3,70,NA,purple,6.5,NA,NA,NA,2020,53.5,NA
202038,y,y,NA,NA,1,NA,NA,NA,5,0,2,3,65,NA,purple,8,NA,NA,NA,2020,53.5,NA
202039,y,y,NA,NA,1,NA,NA,NA,6,30,1,3,64,NA,green,7.3,NA,NA,NA,2020,53.5,NA
202040,y,y,NA,NA,1,NA,NA,NA,4,60,1,1,62,NA,pink,6,NA,NA,NA,2020,53.5,NA
202041,y,y,NA,NA,1,NA,NA,NA,7,38,5,5,68,NA,red,7,NA,NA,NA,2020,53.5,NA
202042,y,y,NA,NA,1,NA,NA,NA,6,0,4,4,65,NA,orange,9,NA,NA,NA,2020,53.5,NA
202043,n,y,NA,NA,1,NA,NA,NA,6,0,1,1,65,NA,orange,4,NA,NA,NA,2020,53.5,NA
202044,y,y,NA,NA,1,NA,NA,NA,7,15,2,1,65,NA,orange,4,NA,NA,NA,2020,53.5,NA
202045,n,y,NA,NA,1,NA,NA,NA,7,0,3,3,63,NA,burgundy,5,NA,NA,NA,2020,53.5,NA
202046,y,y,NA,NA,1,NA,NA,NA,7,0,3,1,72,NA,red,4,NA,NA,NA,2020,53.5,NA
202047,n,n,NA,NA,1,NA,NA,NA,6,20,3,3,64,NA,black,7,NA,NA,NA,2020,53.5,NA
202048,n,y,NA,NA,1,NA,NA,NA,6,13,3,2,66,NA,blue,7,NA,NA,NA,2020,53.5,NA
202049,y,y,NA,NA,1,NA,NA,NA,7,60,5,4,61,NA,red,4,NA,NA,NA,2020,53.5,NA
202050,n,y,NA,NA,1,NA,NA,NA,6,NA,1,NA,60,NA,blue,5,NA,NA,NA,2020,53.5,NA
202051,y,y,NA,NA,1,NA,NA,NA,7,50,4,4,62,NA,blue,7,NA,NA,NA,2020,53.5,NA
202052,y,y,NA,NA,1,NA,NA,NA,7,15,3,2,69,NA,red,5,NA,NA,NA,2020,53.5,NA
202053,y,y,NA,NA,1,NA,NA,NA,7,20,2,3,70,NA,blue,5,NA,NA,NA,2020,53.5,NA
202054,y,n,NA,NA,1,NA,NA,NA,6,65,3,1,62,NA,blue,3,NA,NA,NA,2020,53.5,NA
202055,y,y,NA,NA,1,NA,NA,NA,7,25,5,5,71,NA,gray,6.5,NA,NA,NA,2020,53.5,NA
202056,y,y,NA,NA,1,NA,NA,NA,7,30,3,3,66,NA,blue,8,NA,NA,NA,2020,53.5,NA
202057,y,y,NA,NA,1,NA,NA,NA,6,80,2,3,68,NA,blue,7,NA,NA,NA,2020,53.5,NA
202058,y,n,NA,NA,1,NA,NA,NA,6,5,3,3,70,NA,white,6,NA,NA,NA,2020,53.5,NA
202059,y,y,NA,NA,1,NA,NA,NA,7,45,1,1,62,NA,blue,6.5,NA,NA,NA,2020,53.5,NA
202060,y,y,NA,NA,1,NA,NA,NA,6,35,3,4,67,NA,purple,7.5,NA,NA,NA,2020,53.5,NA
202061,n,n,NA,NA,1,NA,NA,NA,4,0,2,2,61,NA,blue,8,NA,NA,NA,2020,53.5,NA
202062,n,y,NA,NA,1,NA,NA,NA,5,15,2,2,70,NA,red,7,NA,NA,NA,2020,53.5,NA
202063,y,y,NA,NA,1,NA,NA,NA,7,NA,3,1,72,NA,red,4,NA,NA,NA,2020,53.5,NA
202064,y,NA,NA,NA,NA,NA,NA,NA,5,0,2,2,63,NA,yellow,9,NA,NA,NA,2020,53.5,NA
202065,n,n,NA,NA,1,NA,NA,NA,7,20,5,5,73,NA,blue,4,NA,NA,NA,2020,53.5,NA
202066,y,n,NA,NA,1,NA,NA,NA,5,25,4,5,NA,NA,NA,7,NA,NA,NA,2020,53.5,NA
202067,n,y,NA,NA,1,NA,NA,NA,7,40,4,4,68,NA,blue,6,NA,NA,NA,2020,53.5,NA
201901,y,y,6,NA,1,1,19,0.9,7,120,2,2,65,19.2,teal,6.8,81,NA,42,2019,52.5,NA
201902,y,y,7,NA,1,19,10,-0.31,7,20,1,1,72,27,blue,9,70,NA,53,2019,52.5,NA
201903,y,y,4,NA,1,0,10,1,7,20,3,2,62,17,purple,7,90,NA,45,2019,52.5,NA
201904,y,y,7,NA,1,16,10,-0.23,7,0,2,2,70,22,blue,6,74,NA,45,2019,52.5,NA
201905,y,y,6,NA,1,2,16,0.78,7,7,2,3,69,19.2,blue,8,69,NA,42,2019,52.5,NA
201906,y,y,7,NA,1,10,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2019,52.5,NA
201907,y,y,5,NA,1,1,13,0.86,6,25,2,3,66,20.5,green,6,84,NA,56,2019,52.5,NA
201908,n,n,6,NA,1,0,10,1,6,80,4,4,68,19,red,6,76,NA,50,2019,52.5,NA
201909,n,y,6,NA,1,0,17,1,7,16,2,3,70,23.7,green,7,74,NA,52,2019,52.5,NA
201910,n,y,4,NA,1,18,10,-0.29,7,12.5,2,3,68,19,blue,7,70,NA,42,2019,52.5,NA
