student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,year,lovetrueage,lovetrueht,sex,ageguess
202455,y,y,7,185,3,0,12,1,7,20,2,2,68,21.5,blue,6.5,80,2024,57.5,188,NA,NA
202456,n,y,3,185,1,0,13,1,5,30,3,4,74,23,blue,7,64,2024,57.5,188,NA,NA
202301,y,NA,2,152,1,0,10,1,7,0,3,3,61,19.5,sky blue,5,NA,2023,56.5,189,NA,NA
202302,n,y,NA,152,1,10,0,-1,7,10,3,3,63,19,black,6,NA,2023,56.5,189,NA,NA
202303,y,y,4,178,1,0,20,1,6,45,2,2,61,20,purple,8.5,104,2023,56.5,189,NA,NA
202304,n,y,2,183,1,0,20,1,5,200,3,4,64,19,blue,6,92,2023,56.5,189,NA,NA
202305,y,y,2,178,1,0,10,1,6,40,2,2,62,18.5,purple,9,88,2023,56.5,189,NA,NA
202306,y,y,6,178,1,5,8,0.23,7,35,3,3,73,26,blue,6,54,2023,56.5,189,NA,NA
202307,y,y,5,185,1,4,15,0.58,7,70,4,4,74,25.5,purple,6,72,2023,56.5,189,NA,NA
202308,n,y,5,185,3,5,15,0.5,7,65,3,4,66,21,purple,7,76,2023,56.5,189,NA,NA
202309,n,y,4,188,1,0,10,1,6,40,4,3,71,15,blue,6,78,2023,56.5,189,NA,NA
202310,n,n,3,185,1,2,9,0.64,5,0,2,2,60,17.5,yellow,8,68,2023,56.5,189,NA,NA
202311,n,n,2,180,1,0,10,1,7,12,5,5,67,20,blue,9.5,68,2023,56.5,189,NA,NA
202312,n,n,7,185,1,2,9,0.64,5,0,2,2,60,17.5,yellow,8,68,2023,56.5,189,NA,NA
202313,n,y,5,193,1,10,0,-1,7,60,4,4,65,18,purple,5.5,88,2023,56.5,189,NA,NA
202314,y,y,5,188,1,0,10,1,6,80,4,4,65,18,green,6,60,2023,56.5,189,NA,NA
202315,y,y,5,178,1,0,18,1,7,75,4,4,67,22,blue,5,76,2023,56.5,189,NA,NA
202316,y,y,5,188,2,12,4,-0.5,6,30,3,3,65,18,green,8,75,2023,56.5,189,NA,NA
202317,n,y,3,178,1,0,10,1,5,15,3,4,64,21,blue,8,84,2023,56.5,189,NA,NA
202318,n,n,3,178,1,7,4,-0.27,6,0,3,4,70,23,black,8,80,2023,56.5,189,NA,NA
202319,n,n,3,185,1,1,14,0.87,6,0,4,3,63,21,blue,7.5,108,2023,56.5,189,NA,NA
202320,y,n,5,185,1,5,15,0.5,7,26,4,3,65,20,blue,8,68,2023,56.5,189,NA,NA
202321,y,y,3,183,1,2,16,0.78,7,100,4,3,61,16,purple,8,72,2023,56.5,189,NA,NA
202322,n,y,3,180,1,2,17,0.79,6,65,3,3,61.5,15,blue,7,85,2023,56.5,189,NA,NA
202323,y,n,5,177,1,0,10,1,7,20,3,3,65,21,white,7,80,2023,56.5,189,NA,NA
202324,y,y,7,190,1,0,20,1,7,0,5,5,66,23,red,6,76,2023,56.5,189,NA,NA
202325,y,y,4,188,1,0,20,1,7,32,4,5,70,20,red,8,70,2023,56.5,189,NA,NA
202326,y,n,4,175,2,1,9,0.8,7,20,3,2,68,20,blue,5,80,2023,56.5,189,NA,NA
202327,n,y,4,168,1,2,18,0.8,7,48,3,4,64,19.5,blue,7,112,2023,56.5,189,NA,NA
202328,n,y,4,178,1,9,3,-0.5,6,0,1,3,73,23,blue,8,80,2023,56.5,189,NA,NA
202329,n,y,5,180,1,2,18,0.8,7,30,2,4,73,21,blue,7,68,2023,56.5,189,NA,NA
202330,n,y,4,173,1,7,9,0.13,5,0,4,3,64,21.5,teal,6,76,2023,56.5,189,NA,NA
202331,y,y,7,188,1,0,10,1,4,180,3,4,66,20.5,blue,4,88,2023,56.5,189,NA,NA
202332,y,y,6,188,1,0,10,1,7,35,4,2,71,22.5,yellow,6,86,2023,56.5,189,NA,NA
202333,y,n,7,185,1,12,4,-0.5,5,20,3,3,61,20,green,6,86,2023,56.5,189,NA,NA
202334,y,n,5,183,1,2,11,0.69,5,5,4,3,70,22,blue,7,80,2023,56.5,189,NA,NA
202335,n,y,3,185,1,6,9,0.2,6,0,2,2,66,21.5,royal blue,5,84,2023,56.5,189,NA,NA
202336,y,y,2,188,1,5,12,0.41,5,35,3,2,63,13.8,light blue,9,68,2023,56.5,189,NA,NA
202337,n,y,3,180,1,2,16,0.78,7,45,2,3,69,19,blue,8,104,2023,56.5,189,NA,NA
202338,y,y,3,180,1,2,16,0.78,6,0,3,2,65,20.5,green,6,72,2023,56.5,189,NA,NA
202339,n,n,6,178,1,17,10,-0.26,7,150,3,3,64,19.5,purple,9,88,2023,56.5,189,NA,NA
202340,n,n,6,185,1,19,10,-0.31,7,14,3,3,61,19.3,purple,7,80,2023,56.5,189,NA,NA
202341,y,y,5,183,1,6,13,0.37,6,0,3,4,65,20.5,blue,8,72,2023,56.5,189,NA,NA
202342,y,y,4,180,1,4,14,0.56,5,7.5,3,3,64,20,white,7,68,2023,56.5,189,NA,NA
202343,y,y,5,185,1,2,15,0.76,7,0,2,5,65,21,blue,7.25,72,2023,56.5,189,NA,NA
202344,y,y,7,191,1,3,14,0.65,7,20,4,2,70,20,gray,9.5,100,2023,56.5,189,NA,NA
202345,y,y,5,183,1,5,14,0.47,7,57,1,2,64,18.5,red,7.13,80,2023,56.5,189,NA,NA
202346,y,y,5,180,1,4,14,0.56,7,22,3,2,69,20,blue,6,88,2023,56.5,189,NA,NA
202347,y,n,5,175,1,1,17,0.89,6,50,4,4,67,18,red,5,72,2023,56.5,189,NA,NA
202348,n,NA,4,191,1,10,0,-1,6,30,1,5,68,20,red,8,80,2023,56.5,189,NA,NA
202349,n,y,5,193,1,10,0,-1,6,30,4,5,77,22,aquamarine,5,60,2023,56.5,189,NA,NA
202350,y,y,6,175,2,0,10,1,7,35,3,3,72,22.5,blue,6,56,2023,56.5,189,NA,NA
202351,y,y,6,183,1,1,17,0.89,7,20,2,3,62,18.5,blue,6.5,68,2023,56.5,189,NA,NA
202352,y,n,5,183,1,0,15,1,7,50,2,3,64,19.8,purple,8,68,2023,56.5,189,NA,NA
202353,y,y,5,178,1,1,15,0.88,6,35,1,4,64,19.5,green,4.5,60,2023,56.5,189,NA,NA
202201,n,n,5,180,1,1,9,0.8,6,2,2,4,69.5,23,blue,5,80,2022,55.5,190,NA,NA
202202,y,y,7,168,1,0,10,1,7,50,3,1,63,19,purple,4,64,2022,55.5,190,NA,NA
202203,n,y,5,185,2,0,10,1,7,0,2,2,73,25,NA,7,68,2022,55.5,190,NA,NA
202204,y,y,6,185,1,0,10,1,7,38,1,3,70,23.5,green,6,88,2022,55.5,190,NA,NA
202205,y,y,6,191,1,16,4,1,7,25,3,3,59,17,red,6,60,2022,55.5,190,NA,NA
202206,y,y,6,183,2,3,15,1,7,15,3,3,68,22,royal purple,7,72,2022,55.5,190,NA,NA
202207,y,y,7,188,1,18,10,1,7,0,2,3,71,23,blue,7,68,2022,55.5,190,NA,NA
202208,n,n,7,188,1,4,10,1,7,32,3,2,70,23,black,6,68,2022,55.5,190,NA,NA
202209,y,y,7,191,2,1,19,1,7,60,2,4,69,22.5,green,8,96,2022,55.5,190,NA,NA
202210,n,y,6,183,1,6,13,1,6,40,3,4,76,24,red,7,66,2022,55.5,190,NA,NA
202211,n,n,5,180,1,7,12,1,7,45,3,3,66,19,green,8,64,2022,55.5,190,NA,NA
202212,n,y,3,188,1,0,16,1,7,52,3,3,68,23,purple,8,88,2022,55.5,190,NA,NA
202213,y,y,5,188,1,0,16,1,7,52,3,2,69,19.5,blue,7,74,2022,55.5,190,NA,NA
202214,n,y,6,185,1,4,9,1,7,0,3,2,67,20,green,7,100,2022,55.5,190,NA,NA
202215,y,y,4,185,1,0,10,1,5,30,3,3,72,24.5,black,7,55,2022,55.5,190,NA,NA
202216,y,y,5,183,1,4,13,1,7,15,3,3,61,21.2,green,6.5,79,2022,55.5,190,NA,NA
202217,y,y,3,191,1,0,19,1,6,30,2,3,75.5,23,maroon,6,76,2022,55.5,190,NA,NA
202218,y,n,1,185,1,1,14,1,5,75,5,5,70,20,pink,8,74,2022,55.5,190,NA,NA
202219,n,y,5,178,1,1,17,1,7,20,3,4,68,24,blue,7,68,2022,55.5,190,NA,NA
202220,n,n,5,NA,1,2,9,1,NA,4,4,3,66,19.5,red,7,78,2022,55.5,190,NA,NA
202221,y,y,7,185,2,0,20,1,7,45,3,4,68,21,green,7,79,2022,55.5,190,NA,NA
202222,n,y,4,191,1,1,17,1,5,20,3,2,72,24.8,orange,6,80,2022,55.5,190,NA,NA
202223,n,y,5,191,1,4,15,1,6,35,3,3,69,22.8,blue,5,84,2022,55.5,190,NA,NA
202224,y,n,5,178,1,4,16,1,7,0,3,1,62,20.5,red,8,68,2022,55.5,190,NA,NA
202225,y,n,3,185,1,1,17,1,7,50,2,3,71,26.5,blue,6,68,2022,55.5,190,NA,NA
202226,n,n,5,183,1,0,13,1,7,25,3,3,68,22.8,blue,6,70,2022,55.5,190,NA,NA
202227,y,n,5,183,1,0,19,1,7,40,3,4,69,22,blue,7,70,2022,55.5,190,NA,NA
202228,n,y,3,191,1,0,10,1,7,240,1,2,67,20,orange,5.5,60,2022,55.5,190,NA,NA
202229,y,y,3,185,1,4,14,1,6,30,1,3,68,23.2,blue,10,72,2022,55.5,190,NA,NA
202230,y,y,5,180,1,4,6,1,7,6,3,3,73.5,21,blue,6,64,2022,55.5,190,NA,NA
202231,n,y,5,191,1,6,14,1,7,45,4,3,75,23.5,blue,7,60,2022,55.5,190,NA,NA
202232,y,n,6,191,1,3,17,1,7,25,3,5,64,19,blue,8,100,2022,55.5,190,NA,NA
202233,y,n,3,173,1,1,18,1,6,2,4,2,69,21,blue,8,72,2022,55.5,190,NA,NA
202234,y,y,6,191,1,4,16,1,4,30,4,4,73,23.5,orange,8,66,2022,55.5,190,NA,NA
202235,n,y,7,191,1,1,19,1,7,25,2,4,73,23.5,green,7.5,68,2022,55.5,190,NA,NA
202236,y,y,6,183,1,20,10,1,7,20,3,3,68,23,blue,8,88,2022,55.5,190,NA,NA
202237,y,y,6,191,1,0,20,1,5,200,4,3,66,19,blue,5,62,2022,55.5,190,NA,NA
202238,y,y,5,191,1,19,11,1,4,15,3,2,70,22.5,white,10,84,2022,55.5,190,NA,NA
202239,y,y,7,191,2,0,10,1,7,35,3,3,65,23,all of them,5,88,2022,55.5,190,NA,NA
202240,y,n,5,180,1,4,14,1,7,0,2,1,67,21,red,8,NA,2022,55.5,190,NA,NA
202241,n,y,3,191,1,3,13,1,5,20,3,2,68,21,blue,3.5,80,2022,55.5,190,NA,NA
202242,n,y,6,191,1,17,10,1,7,80,4,3,66,21.5,blue,6.5,78,2022,55.5,190,NA,NA
202243,n,y,7,191,2,0,10,1,7,20,1,1,70.5,24,blue,7,72,2022,55.5,190,NA,NA
202244,n,y,1,185,1,2,13,1,4,30,4,1,63,20,blue,6,92,2022,55.5,190,NA,NA
202245,y,y,3,188,1,2,15,1,6,80,2,3,66,21,blue,6.5,80,2022,55.5,190,NA,NA
202246,n,n,5,180,1,0,10,1,5,10,3,NA,66,19,green,8,50,2022,55.5,190,NA,NA
202247,y,y,7,NA,1,2,9,1,7,50,3,1,62,20,red,8,80,2022,55.5,190,NA,NA
202248,y,y,5,168,1,0,18,1,4,30,5,4,69,24,orange,7.5,76,2022,55.5,190,NA,NA
202249,y,y,5,188,1,1,19,1,6,60,3,4,61,19,seafoam green,7,88,2022,55.5,190,NA,NA
202250,y,y,5,191,1,1,19,1,7,20,3,4,72,22.5,blue,6.5,80,2022,55.5,190,NA,NA
202251,y,n,5,191,1,1,10,1,5,20,3,4,70,22,blue,8,88,2022,55.5,190,NA,NA
202252,y,n,5,191,3,6,12,1,5,30,5,5,70,22,blue,10,88,2022,55.5,190,NA,NA
202253,y,y,6,175,1,18,10,1,7,5,4,3,67,19,blue,6,80,2022,55.5,190,NA,NA
202254,y,n,1,NA,1,1,9,1,6,30,5,1,72,20,white,8,NA,2022,55.5,190,NA,NA
202101,n,y,7,178,1,0,10,1,7,20,3,4,72,23,green,5,80,2021,54.5,191,NA,NA
202102,y,y,5,178,1,2,18,0.8,6,25,3,3,68,20,blue,7,84,2021,54.5,191,NA,NA
202103,n,y,3,178,1,0,18,1,6,30,2,3,71,20,green,7,92,2021,54.5,191,NA,NA
202104,y,y,5,173,3,12,4,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,54.5,191,NA,NA
202105,y,y,3,178,1,4,13,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,54.5,191,NA,NA
202106,y,y,5,183,1,1,19,0.9,6,65,5,1,66,20,pink,10,88,2021,54.5,191,NA,NA
202107,y,y,5,180,1,1,19,0.9,7,0,4,2,65,17,green,10,84,2021,54.5,191,NA,NA
202108,n,y,6,178,1,0,10,1,7,30,2,4,68,23,red,8,76,2021,54.5,191,NA,NA
202109,y,y,5,188,1,3,16,0.68,7,100,2,4,60,17,NA,6,60,2021,54.5,191,NA,NA
202110,n,y,6,183,1,2,18,0.8,7,30,1,2,66,20,red,6,64,2021,54.5,191,NA,NA
202111,n,y,5,178,1,0,15,1,6,20,2,2,70,21,green,6,80,2021,54.5,191,NA,NA
202112,n,y,5,180,1,2,18,0.8,7,35,2,3,74,23,blue,7,80,2021,54.5,191,NA,NA
202113,y,y,4,173,1,2,14,0.75,6,15,3,3,63,19.5,blue,6,60,2021,54.5,191,NA,NA
202114,y,n,5,165,1,0,16,1,5,20,2,2,73,21.5,red,8,60,2021,54.5,191,NA,NA
202115,y,y,2,180,1,1,14,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,54.5,191,NA,NA
202116,y,y,1,180,2,2,18,0.8,7,0,4,4,65.5,20,salmon,6,64,2021,54.5,191,NA,NA
202117,n,y,5,178,1,2,18,0.8,7,35,2,3,69,20,blue,8,64,2021,54.5,191,NA,NA
202118,y,n,5,183,1,1,19,0.9,7,40,4,3,63,14,blue,6,96,2021,54.5,191,NA,NA
202119,y,n,1,175,1,6,13,0.37,6,60,3,2,71,22,yellow,6,90,2021,54.5,191,NA,NA
202120,y,n,5,180,1,0,10,1,7,0,4,3,66,19,red,8.5,NA,2021,54.5,191,NA,NA
202121,n,n,5,180,1,0,20,1,7,0,3,2,69,20,red,8,64,2021,54.5,191,NA,NA
202122,y,y,4,178,1,0,10,1,6,65,2,3,62,20,purple,8,84,2021,54.5,191,NA,NA
202123,y,n,7,175,1,0,20,1,7,50,2,5,69,20,blue,5,64,2021,54.5,191,NA,NA
202124,y,y,4,173,1,10,1,-0.82,7,60,2,3,62,22,purple,8,80,2021,54.5,191,NA,NA
202125,y,y,2,178,1,0,14,1,6,70,3,2,67.5,19,blue,6,70,2021,54.5,191,NA,NA
202126,n,n,7,175,1,2,15,0.76,7,200,5,1,63,18,blue,8,92,2021,54.5,191,NA,NA
202127,n,n,3,175,1,6,14,0.4,6,31,3,2,74,21,blue,8,77,2021,54.5,191,NA,NA
202128,n,y,5,185,1,0,15,1,7,40,4,1,66,20.7,blue,8,64,2021,54.5,191,NA,NA
202129,n,y,5,185,1,0,15,1,6,30,4,1,63,18.6,blue,8,64,2021,54.5,191,NA,NA
202130,y,y,6,178,1,0,10,1,7,60,3,5,66,20,pink,8,94,2021,54.5,191,NA,NA
202131,n,y,6,183,1,5,14,0.47,7,70,4,3,69,21.5,lavender,8,88,2021,54.5,191,NA,NA
202132,y,n,7,183,1,5,14,0.47,7,60,4,4,63,20,green,7.5,72,2021,54.5,191,NA,NA
202133,n,y,5,185,1,0,10,1,7,18,1,1,67,23,white,6,70,2021,54.5,191,NA,NA
202134,y,y,5,185,2,2,14,0.75,6,14,4,2,76,23.5,red,7,72,2021,54.5,191,NA,NA
202135,y,y,4,187,1,2,9,0.64,7,35,2,3,77.5,24.5,green,7.5,80,2021,54.5,191,NA,NA
202136,y,y,3,183,1,2,16,0.78,6,72,3,1,64,19,blue,8,80,2021,54.5,191,NA,NA
202137,n,y,5,180,1,1,16,0.88,5,30,4,3,68,20,black,9,80,2021,54.5,191,NA,NA
202138,y,n,1,170,1,0,16,1,5,100,4,2,67,19.5,sky blue,6.5,64,2021,54.5,191,NA,NA
202139,y,y,4,170,1,0,10,1,6,60,3,2,64,21,purple,7,72,2021,54.5,191,NA,NA
202140,y,y,5,183,1,16,4,-0.6,7,100,3,4,64,20,lavender,7,104,2021,54.5,191,NA,NA
202141,y,y,5,178,1,16,3,-0.68,5,26,3,4,69,20.8,forest green,8,72,2021,54.5,191,NA,NA
202142,n,y,4,178,3,0,14,1,6,30,3,2,73,22.5,orange,9,60,2021,54.5,191,NA,NA
202143,y,y,5,188,1,2,16,0.78,6,250,3,4,66,16.5,green,8,68,2021,54.5,191,NA,NA
202144,n,y,4,180,2,0,15,1,6,20,3,3,70,23.5,blue,7,80,2021,54.5,191,NA,NA
202145,y,y,5,178,1,13,0,-1,5,35,3,2,73,23.75,blue,6,84,2021,54.5,191,NA,NA
202146,y,y,5,178,1,1,12,0.85,5,70,3,4,73,24,black,6,65,2021,54.5,191,NA,NA
202147,n,y,5,180,1,7,5,-0.17,7,0,4,4,74,22,green,8,44,2021,54.5,191,NA,NA
202148,y,y,5,180,1,1,19,0.9,7,0,3,4,64,18,blue,7.5,60,2021,54.5,191,NA,NA
202149,n,y,3,180,1,0,10,1,6,18,3,4,62,19,blue,5,84,2021,54.5,191,NA,NA
202150,y,y,7,188,2,0,19,1,7,40,4,3,65,21,NA,6,64,2021,54.5,191,NA,NA
202151,y,y,5,188,1,0,17,1,5,0,3,3,71,22.5,green,7,92,2021,54.5,191,NA,NA
202152,y,y,3,191,1,4,16,0.6,5,50,3,2,67,18,green,8,96,2021,54.5,191,NA,NA
202153,y,y,6,188,3,3,17,0.7,7,2,3,4,60,16.5,blue,9,75,2021,54.5,191,NA,NA
202154,y,n,5,175,1,1,15,0.88,7,40,5,4,70,22,light blue,6,72,2021,54.5,191,NA,NA
202155,y,y,5,178,1,3,7,0.4,7,30,5,4,72,23.5,blue,7,66,2021,54.5,191,NA,NA
202156,y,y,5,178,1,0,20,1,7,60,4,4,68,17.5,blue,8,76,2021,54.5,191,NA,NA
202157,n,y,4,183,1,0,10,1,NA,22,1,3,71,20,green,6.5,72,2021,54.5,191,NA,NA
202158,n,n,5,183,1,0,10,1,6,35,1,1,67,20,blue,4,82,2021,54.5,191,NA,NA
202001,y,n,NA,NA,1,NA,NA,NA,7,5,3,2,70,NA,blue,7,NA,2020,53.5,NA,NA,NA
202002,y,y,NA,NA,1,NA,NA,NA,6,0,3,2,61,NA,blue,6.5,NA,2020,53.5,NA,NA,NA
202003,y,y,NA,NA,1,NA,NA,NA,7,45,4,3,62,NA,purple,8,NA,2020,53.5,NA,NA,NA
202004,y,n,NA,NA,1,NA,NA,NA,7,3,5,5,72,NA,blue,7,NA,2020,53.5,NA,NA,NA
202005,y,y,NA,NA,1,NA,NA,NA,7,0,4,3,63,NA,purple,7,NA,2020,53.5,NA,NA,NA
202006,n,y,NA,NA,1,NA,NA,NA,6,45,2,4,68,NA,silver,8,NA,2020,53.5,NA,NA,NA
202007,y,y,NA,NA,1,NA,NA,NA,7,0,3,3,68,NA,green,6,NA,2020,53.5,NA,NA,NA
202008,n,y,NA,NA,1,NA,NA,NA,7,0,4,3,72,NA,blue,5,NA,2020,53.5,NA,NA,NA
202009,y,n,NA,NA,1,NA,NA,NA,6,20,3,3,62,NA,purple,7,NA,2020,53.5,NA,NA,NA
202010,y,n,NA,NA,1,NA,NA,NA,6,72,2,3,66,NA,green,6.5,NA,2020,53.5,NA,NA,NA
202011,y,y,NA,NA,1,NA,NA,NA,5,40,2,2,64,NA,green,6,NA,2020,53.5,NA,NA,NA
202012,y,y,NA,NA,1,NA,NA,NA,6,60,2,3,65,NA,green,9,NA,2020,53.5,NA,NA,NA
202013,n,y,NA,NA,1,NA,NA,NA,6,0,3,4,63,NA,purple,7,NA,2020,53.5,NA,NA,NA
202014,n,y,NA,NA,1,NA,NA,NA,5,0,3,2,68,NA,blue,2,NA,2020,53.5,NA,NA,NA
202015,y,y,NA,NA,1,NA,NA,NA,5,0,3,3,64,NA,blue,8,NA,2020,53.5,NA,NA,NA
202016,y,y,NA,NA,1,NA,NA,NA,7,130,2,5,70,NA,purple,9,NA,2020,53.5,NA,NA,NA
202017,n,n,NA,NA,1,NA,NA,NA,6,25,3,2,67,NA,baby blue,6,NA,2020,53.5,NA,NA,NA
202018,y,y,NA,NA,1,NA,NA,NA,6,50,3,3,62,NA,green,5,NA,2020,53.5,NA,NA,NA
202019,y,y,NA,NA,1,NA,NA,NA,7,35,5,5,66,NA,red,7,NA,2020,53.5,NA,NA,NA
202020,y,y,NA,NA,1,NA,NA,NA,7,35,2,2,67,NA,blue,5,NA,2020,53.5,NA,NA,NA
202021,y,y,NA,NA,1,NA,NA,NA,6,0,4,3,65,NA,purple,6,NA,2020,53.5,NA,NA,NA
202022,y,y,NA,NA,1,NA,NA,NA,7,0,4,3,62,NA,blue,7,NA,2020,53.5,NA,NA,NA
202023,y,y,NA,NA,1,NA,NA,NA,6,0,3,3,69,NA,turquoise,6.5,NA,2020,53.5,NA,NA,NA
202024,y,y,NA,NA,1,NA,NA,NA,7,65,5,3,67,NA,purple,6,NA,2020,53.5,NA,NA,NA
202025,n,y,NA,NA,1,NA,NA,NA,6,30,1,2,76,NA,blue,9,NA,2020,53.5,NA,NA,NA
